CID,zCMB,zHD,RA_deg,DEC_deg,l_gal_deg,b_gal_deg,r_Mpc_h,delta_endpoint
2009an,0.009210,0.010260,185.69700,65.85120,127.5828,51.0175,27.551,1.07452
2009an,0.009210,0.010260,185.69700,65.85120,127.5828,51.0175,27.551,1.07452
1999ac,0.009790,0.010170,241.81200,7.97230,19.8826,39.9437,29.282,-0.72067
1999ac,0.009790,0.010170,241.81200,7.97230,19.8826,39.9437,29.282,-0.72067
2004S,0.009800,0.010420,101.43100,-31.23120,240.7864,-14.7970,29.312,0.81310
ASASSN-16jf,0.010400,0.010960,339.24700,-25.23200,28.8340,-59.8650,31.102,0.08293
2013E,0.010420,0.010160,150.02300,-34.23370,267.0527,16.4415,31.161,5.40543
1997do,0.010480,0.010730,111.67700,47.09330,171.0006,25.2691,31.340,-0.46122
2010ko,0.010960,0.011220,83.20600,-14.09610,217.1904,-23.6639,32.772,0.99656
2013ex,0.010960,0.011220,83.19420,-14.04590,217.1352,-23.6542,32.772,0.99656
2013ex,0.010960,0.011220,83.19420,-14.04590,217.1352,-23.6542,32.772,0.99656
2010Y,0.011420,0.012330,162.76600,65.77970,140.4979,47.0329,34.144,0.77172
2011ao,0.011680,0.011950,178.46300,33.36290,182.7938,76.1066,34.919,0.09893
2009ab,0.011890,0.011550,64.15160,2.76420,190.1261,-32.2705,35.545,1.06455
2002ha,0.012200,0.012580,311.82700,0.31270,47.3971,-25.3748,36.469,0.20569
2002ha,0.012200,0.012580,311.82700,0.31270,47.3971,-25.3748,36.469,0.20569
2017cfd,0.012220,0.013040,130.20400,73.48750,140.5760,33.5986,36.529,1.67693
AT2017cfd,0.012220,0.013040,130.20400,73.48750,140.5760,33.5986,36.529,1.67693
iPTF13ebh,0.012380,0.011140,35.49990,33.27050,143.8941,-25.8884,37.005,2.66604
iPTF13ebh,0.012380,0.011140,35.49990,33.27050,143.8941,-25.8884,37.005,2.66604
2009kk,0.012440,0.012200,57.43450,-3.26440,191.6026,-41.2163,37.184,1.50572
2009kq,0.012470,0.012590,129.06300,28.06710,195.9964,34.1465,37.274,-0.39809
2009kq,0.012470,0.012590,129.06300,28.06710,195.9964,34.1465,37.274,-0.39809
2008R,0.012600,0.012460,45.97380,-11.99430,193.4893,-55.4795,37.661,1.23146
2001cz,0.012750,0.012130,191.87600,-39.58000,302.1067,23.2854,38.108,7.89818
2007hj,0.012880,0.013250,345.44900,15.58650,87.7505,-39.6798,38.495,0.24170
2007hj,0.012880,0.013250,345.44900,15.58650,87.7505,-39.6798,38.495,0.24170
2007hj,0.012880,0.013250,345.44900,15.58650,87.7505,-39.6798,38.495,0.24170
2001ep,0.013060,0.012830,74.25110,-4.76120,203.6038,-27.5500,39.032,2.86479
2001ep,0.013060,0.012830,74.25110,-4.76120,203.6038,-27.5500,39.032,2.86479
2013gy,0.013090,0.013030,55.57030,-4.72180,191.8462,-43.5721,39.121,1.39032
2013gy,0.013090,0.013030,55.57030,-4.72180,191.8462,-43.5721,39.121,1.39032
1997E,0.013140,0.013760,101.90900,74.49750,140.2014,25.8138,39.270,2.32385
2008hv,0.013600,0.013750,136.89200,3.39230,226.6595,31.6146,40.640,0.59669
2008hv,0.013600,0.013750,136.89200,3.39230,226.6595,31.6146,40.640,0.59669
2008hv,0.013600,0.013750,136.89200,3.39230,226.6595,31.6146,40.640,0.59669
2007cv,0.013610,0.013860,159.43900,-27.08250,269.5437,26.9866,40.670,6.67578
2005kc,0.013860,0.014420,338.53100,5.56840,72.3383,-43.4131,41.415,-0.17435
2005kc,0.013860,0.014420,338.53100,5.56840,72.3383,-43.4131,41.415,-0.17435
1999dk,0.014000,0.013890,22.86220,14.28490,137.3491,-47.4637,41.832,-0.19075
1999dk,0.014000,0.013890,22.86220,14.28490,137.3491,-47.4637,41.832,-0.19075
2011df,0.014020,0.014930,291.89000,54.38650,86.0049,16.8192,41.891,-0.29411
ASASSN-16dn,0.014060,0.014110,162.20600,-20.26390,267.6607,34.0774,42.010,3.56747
2001bt,0.014070,0.012790,288.44500,-59.28970,337.3248,-25.8665,42.040,5.89673
2006N,0.014160,0.014460,92.13020,64.72360,149.4429,19.9732,42.308,2.18617
2004eo,0.014200,0.014600,308.22600,9.92850,54.1679,-17.2743,42.427,1.06153
2003gt,0.014220,0.014620,308.24600,9.87200,54.1292,-17.3214,42.487,1.06153
ASASSN-16la,0.014240,0.014240,37.32260,18.08790,153.3353,-38.9385,42.546,0.22683
2013fa,0.014290,0.014720,310.97300,12.51440,57.9916,-18.0961,42.695,0.99480
1992al,0.014340,0.013880,311.48500,-51.39440,347.3370,-38.4897,42.844,1.58900
2001fe,0.014480,0.014670,144.48800,25.49480,203.6997,46.8794,43.261,-0.11823
PSNJ2043531,0.014490,0.014920,310.97200,12.50850,57.9859,-18.0986,43.291,1.09622
2013gq,0.014570,0.014530,124.47300,23.46960,199.7085,28.8359,43.529,0.43489
2000dm,0.014720,0.014840,274.74600,16.24820,44.0762,14.3695,43.976,0.78694
2005el,0.014830,0.014990,77.95300,5.19430,196.1840,-19.3894,44.303,1.18728
2005el,0.014830,0.014990,77.95300,5.19430,196.1840,-19.3894,44.303,1.18728
2011im,0.014930,0.015490,341.10500,-0.16720,69.1285,-49.2965,44.601,0.54352
2005de,0.014950,0.015190,270.59700,26.05210,52.0241,21.7207,44.660,1.08876
2005bo,0.015030,0.014630,192.42100,-11.09650,302.2365,51.7729,44.898,6.16974
2005bo,0.015030,0.014630,192.42100,-11.09650,302.2365,51.7729,44.898,6.16974
2006td,0.015040,0.014500,29.56570,36.34940,137.6843,-24.6007,44.928,5.84616
2008ec,0.015060,0.015620,345.81900,8.87220,83.1016,-45.4704,44.988,0.82082
2008ec,0.015060,0.015620,345.81900,8.87220,83.1016,-45.4704,44.988,0.82082
2007ca,0.015090,0.014420,202.77400,-15.10180,316.9559,46.6872,45.077,1.23224
2007ca,0.015090,0.014420,202.77400,-15.10180,316.9559,46.6872,45.077,1.23224
2007ca,0.015090,0.014420,202.77400,-15.10180,316.9559,46.6872,45.077,1.23224
2001cn,0.015090,0.015150,281.57400,-65.76160,329.6409,-24.0535,45.077,5.35861
ATLAS16cxr,0.015180,0.015420,272.02700,25.40880,51.8733,20.2877,45.345,1.62069
ASASSN-16ad,0.015220,0.015290,24.88360,33.82680,134.2338,-27.9872,45.464,5.99222
2009nq,0.015270,0.015760,348.82100,19.02290,93.5439,-38.3006,45.613,0.35177
SN2017jl,0.015290,0.015250,14.38290,30.18520,124.4962,-32.6680,45.672,4.12283
2001en,0.015340,0.015500,21.34540,34.02510,130.9178,-28.3198,45.821,6.56478
2001en,0.015340,0.015500,21.34540,34.02510,130.9178,-28.3198,45.821,6.56478
1999ej,0.015340,0.015500,20.73910,33.46610,130.4414,-28.9457,45.821,6.56478
1999ej,0.015340,0.015500,20.73910,33.46610,130.4414,-28.9457,45.821,6.56478
2002cs,0.015380,0.015900,281.75000,45.70550,75.0304,19.7800,45.940,-0.11911
2008eo,0.015390,0.015650,10.46680,32.99030,120.6184,-29.8385,45.970,3.01502
2001bf,0.015560,0.015810,270.39200,26.25060,52.1549,21.9626,46.476,1.48132
2001bf,0.015560,0.015810,270.39200,26.25060,52.1549,21.9626,46.476,1.48132
iPTF16auf,0.015660,0.015430,217.78800,27.23600,38.9719,67.8614,46.773,1.04577
2013fw,0.015700,0.016560,318.43700,13.57600,63.4906,-23.3468,46.892,0.86161
2008bc,0.015720,0.015460,144.63000,-63.97380,283.6038,-8.6041,46.952,0.19674
1999aa,0.015790,0.015900,126.92500,21.48740,202.7247,30.3129,47.160,1.47566
ASASSN-15oh,0.015790,0.015870,337.67500,39.29320,95.3054,-15.9124,47.160,2.20518
1999aa,0.015790,0.015900,126.92500,21.48740,202.7247,30.3129,47.160,1.47566
iPTF13dge,0.015810,0.016620,75.89620,1.57150,198.3920,-23.0093,47.220,2.96860
2001V,0.015920,0.015570,179.35400,25.20250,218.9282,77.7329,47.547,0.16742
2001V,0.015920,0.015570,179.35400,25.20250,218.9282,77.7329,47.547,0.16742
2010kg,0.015950,0.016520,70.03500,7.35000,189.6280,-24.8431,47.636,1.63036
PSNJ0107203,0.016010,0.016820,16.83460,32.39970,126.8212,-30.3519,47.815,5.94297
1998ef,0.016100,0.016900,15.86200,32.23680,125.8814,-30.5662,48.082,5.95129
1998ef,0.016100,0.016900,15.86200,32.23680,125.8814,-30.5662,48.082,5.95129
2013Q,0.016120,0.016570,356.78300,29.48650,106.5404,-31.3302,48.142,1.37869
1994S,0.016190,0.015880,187.84100,29.13440,187.3781,85.1416,48.350,-0.09200
2007ss,0.016190,0.016520,190.27500,50.39130,127.0920,66.6534,48.350,0.12318
2005al,0.016290,0.015780,207.50100,-30.57620,317.5808,30.6241,48.648,7.54263
2013hn,0.016290,0.015780,207.24700,-30.29070,317.4209,30.9567,48.648,7.54263
SN2016gfr,0.016300,0.016710,274.89800,23.78620,51.3147,17.2600,48.677,2.70434
ASASSN-16ip,0.016320,0.016780,36.84070,-23.92870,209.8756,-68.1589,48.737,-0.14669
2007fs,0.016330,0.016660,330.41800,-21.50820,31.7246,-51.0985,48.767,0.16946
iPTF14bdn,0.016360,0.016030,202.68700,32.76180,68.8038,79.7975,48.856,0.75320
2004fz,0.016460,0.017430,30.27670,31.87890,139.7773,-28.7037,49.153,4.21734
2000dk,0.016490,0.017300,16.84800,32.40640,126.8337,-30.3445,49.243,5.90562
2000dk,0.016490,0.017300,16.84800,32.40640,126.8337,-30.3445,49.243,5.90562
2001da,0.016580,0.017180,358.38700,8.11740,99.1997,-52.0667,49.510,1.44832
2001da,0.016580,0.017180,358.38700,8.11740,99.1997,-52.0667,49.510,1.44832
1997Y,0.016610,0.017050,191.38100,54.73810,124.7725,62.3690,49.600,0.66621
ASASSN-15ti,0.016710,0.016920,46.28580,37.90000,150.0986,-17.8190,49.897,6.43123
1996bv,0.016730,0.016990,94.05420,57.05250,157.3363,17.9720,49.956,-0.20622
ASASSN-15od,0.016780,0.016980,35.80490,-4.51720,171.0485,-58.5325,50.105,0.82310
2007fb,0.016800,0.017330,359.21800,5.50880,98.9012,-54.7969,50.165,1.41653
2007fb,0.016800,0.017330,359.21800,5.50880,98.9012,-54.7969,50.165,1.41653
2006ef,0.016940,0.017340,31.08130,-8.72840,169.4569,-64.7915,50.581,1.73924
ASASSN-15kx,0.016970,0.017200,334.04900,37.47380,91.7980,-15.8407,50.670,2.87456
2008C,0.017090,0.017370,104.29800,20.43710,195.1720,10.3789,51.027,0.53023
2008C,0.017090,0.017370,104.29800,20.43710,195.1720,10.3789,51.027,0.53023
1998V,0.017180,0.017520,275.65600,15.70210,43.9417,13.3465,51.295,1.26500
2008L,0.017340,0.017780,49.31940,41.38270,150.2415,-13.6284,51.770,13.06007
